127.0.0.1 - - [17/Oct/2021:18:07:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:06 +0900] "GET /ChoiHyeMin_reg/welcome.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:06 +0900] "GET /ChoiHyeMin_reg/resources/register.css HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:08 +0900] "GET /ChoiHyeMin_reg/resources/Supreme.mp3 HTTP/1.1" 206 4113691
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:12 +0900] "GET /ChoiHyeMin_reg/introduce.jsp HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:12 +0900] "GET /ChoiHyeMin_reg/resources/ChoiHyeMin01.jpg HTTP/1.1" 200 138602
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:12 +0900] "GET /ChoiHyeMin_reg/resources/github.png HTTP/1.1" 200 19962
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:12 +0900] "GET /ChoiHyeMin_reg/resources/cat.jpg HTTP/1.1" 200 1059361
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:13 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24491132
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:13 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:13 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 13436
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24491132
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24425596
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24401020
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24384636
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24368252
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24351868
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24335484
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24319100
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24302716
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24286332
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:15 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24269948
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24253564
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24237180
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24220796
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24204412
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24188028
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24171644
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24155260
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 206 24138876
0:0:0:0:0:0:0:1 - - [17/Oct/2021:18:07:16 +0900] "GET /ChoiHyeMin_reg/resources/cat.mp4 HTTP/1.1" 412 722
