127.0.0.1 - - [05/Oct/2021:09:51:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Oct/2021:09:52:03 +0900] "GET /jspbook/ch04/calculate3.jsp HTTP/1.1" 500 2343
0:0:0:0:0:0:0:1 - - [05/Oct/2021:09:52:36 +0900] "GET /jspbook/ch04/calculate3.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:40:12 +0900] "GET /jspbook/ch04/request_form.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:40:15 +0900] "POST /jspbook/ch04/request_result.jsp HTTP/1.1" 500 2308
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:40:51 +0900] "GET /jspbook/ch04/request_form.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:40:55 +0900] "POST /jspbook/ch04/request_result.jsp HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:41:14 +0900] "GET /jspbook/ch04/request_form.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:41:17 +0900] "POST /jspbook/ch04/request_result.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [05/Oct/2021:11:08:27 +0900] "GET /jspbook/ch04/compare_main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Oct/2021:11:08:30 +0900] "POST /jspbook/ch04/forward_action.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [05/Oct/2021:11:08:51 +0900] "POST /jspbook/ch04/response_sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:11:08:51 +0900] "GET /jspbook/ch04/end_page.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [05/Oct/2021:11:11:35 +0900] "GET /jspbook/ch04/compare_main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Oct/2021:11:11:38 +0900] "POST /jspbook/ch04/response_sendRedirect.jsp HTTP/1.1" 500 2640
