127.0.0.1 - - [26/Oct/2021:10:01:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:01:53 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:14:47 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:15:44 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:08 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:18:16 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:27:53 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:30:36 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:31:46 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:33:09 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:33:32 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:33:52 +0900] "GET /jspbook/ch07/selectstudent.jsp HTTP/1.1" 200 574
